ID,Labels,F0,F1,F2,F3,F4,Time
CDMN2E1SM010_LEC,COSDa_A,115.81085,465.792,1573.86046,2368.52147,3599.18981,0.07628
CDMN2E1SM010_LEC,COSBa_A,105.62498,529.80858,1446.99105,2267.2856,3277.47137,0.07466
CDMN2E1SM010_LEC,CVSa_A,101.93962,454.8312,1672.04517,2253.1954,3340.59155,0.0633
CDMN2E2SF005_LEC,CLa_T,220.11565,672.94858,1946.27142,3101.03525,4090.1088,0.09159
CDMN2E2SF005_LEC,COSDa_A,309.1485,740.57667,1782.25851,2805.98565,4052.43216,0.07094
CDMN2E2SF005_LEC,COBa_T,250.70363,731.40523,1662.30421,2743.13387,4144.5072,0.08844
CDMN2E2SF005_LEC,CFAa_A,292.26413,840.98109,1685.87923,2959.76329,4122.11249,0.0741
CDMN2E2SF005_LEC,CLaCFA_T,238.31598,682.8227,1593.95294,1894.36397,3047.90642,0.05368
CDMN2E2SF005_LEC,CFLa_A,243.00182,735.45019,1454.34527,2281.87794,3510.7819,0.03831
CDMN2E2SF005_LEC,CFAa_A,232.58163,758.95794,1750.08253,2812.36282,3911.13207,0.12155
CDMN2E2SF005_LEC,COSDa_T,204.43897,758.11967,1892.82142,3040.09883,4165.40387,0.07709
CDMN2E2SF005_LEC,CODCVSa_A,233.20039,564.53165,1764.62834,2582.16268,3857.9099,0.0577
CDMN2E2SF005_LEC,CVMa_A,272.08148,624.78207,1685.14673,2818.14405,4118.71454,0.07283
CDMN2E2SF005_LEC,CODaCFA_A,83.88895,532.13604,1636.45146,2466.96949,3799.80015,0.08826
CDMN2E2SF005_LEC,COBa_T,243.32817,713.85308,1660.35676,2604.55819,4003.49067,0.07827
CDMN2E2SF005_LEC,CFAa_T,234.26405,666.90078,1517.80829,2605.75821,4079.6706,0.06837
CDMN2E2SF005_LEC,COSBa_T,236.48576,884.03438,1732.45868,2609.61555,3780.37048,0.06669
CDMN2E2SF005_LEC,CAPaCNA_A,248.54455,668.4336,1775.22468,2434.51602,3833.79099,0.07402
CDMN2E2SF005_LEC,CLaCFA_T,233.6156,679.76887,1742.0456,2714.50016,3844.73621,0.05179
CDMN2E2SF005_LEC,COSDaCNAL_A,241.11264,807.50805,1822.34903,2914.50733,4267.07671,0.07969
CDMN2E2SF005_LEC,CLaCFA_T,207.80403,676.14609,1782.75859,2851.44758,4079.22873,0.0944
CDMN2E2SF005_LEC,CNBa_T,215.04358,781.12146,1554.17392,2442.28177,3447.71179,0.06952
CDMN2E2SF005_LEC,COSBa_T,187.1514,487.84714,1747.63883,2800.21031,4111.83441,0.06527
CDMN2E2SF005_LEC,CLa_T,192.28147,702.40031,1494.60351,2617.60904,3712.32698,0.08111
CDMN2E2SF005_LEC,COVa_T,220.90632,654.15388,1777.04105,2551.40014,4142.89976,0.07945
